    DataRelease = 1.0
  101    0.01
   0.3000   0.0000   0.0528
   0.3100   0.0010   0.0532
   0.3200   0.0035   0.0578
   0.3300   0.0113   0.0638
   0.3400   0.0263   0.0684
   0.3500   0.0315   0.0779
   0.3600   0.0218   0.0955
   0.3700   0.0143   0.1133
   0.3800   0.0243   0.1236
   0.3900   0.0613   0.1260
   0.4000   0.1788   0.0970
   0.4100   0.2726   0.0705
   0.4200   0.3624   0.0604
   0.4300   0.4422   0.0587
   0.4400   0.5170   0.0647
   0.4500   0.5925   0.0755
   0.4600   0.6701   0.0889
   0.4700   0.6833   0.0872
   0.4800   0.7079   0.0868
   0.4900   0.7261   0.0811
   0.5000   0.7561   0.0804
   0.5100   0.7884   0.0780
   0.5200   0.8257   0.0746
   0.5300   0.8669   0.0709
   0.5400   0.9012   0.0733
   0.5500   0.9062   0.0778
   0.5600   0.8987   0.0863
   0.5700   0.8922   0.0838
   0.5800   0.8837   0.0664
   0.5900   0.8757   0.0440
   0.6000   0.8679   0.0317
   0.6100   0.8662   0.0226
   0.6200   0.8712   0.0162
   0.6300   0.8742   0.0277
   0.6400   0.8859   0.0437
   0.6500   0.8947   0.0549
   0.6600   0.9032   0.0502
   0.6700   0.9105   0.0318
   0.6800   0.9197   0.0163
   0.6900   0.9277   0.0148
   0.7000   0.9397   0.0280
   0.7100   0.9487   0.0356
   0.7200   0.9582   0.0456
   0.7300   0.9695   0.0637
   0.7400   0.9652   0.0661
   0.7500   0.9722   0.0809
   0.7600   0.9792   0.0983
   0.7700   0.9877   0.1142
   0.7800   0.9955   0.1332
   0.7900   0.9980   0.1467
   0.8000   1.0000   0.1609
   0.8100   0.9997   0.1761
   0.8200   0.9972   0.1887
   0.8300   0.9905   0.2013
   0.8400   0.9772   0.2079
   0.8500   0.9627   0.2122
   0.8600   0.9420   0.2149
   0.8700   0.9172   0.2216
   0.8800   0.8854   0.2180
   0.8900   0.8539   0.2192
   0.9000   0.8169   0.2184
   0.9100   0.7776   0.2134
   0.9200   0.7349   0.2120
   0.9300   0.6886   0.2111
   0.9400   0.6336   0.1976
   0.9500   0.5848   0.1913
   0.9600   0.5350   0.1795
   0.9700   0.4837   0.1663
   0.9800   0.4362   0.1543
   0.9900   0.3864   0.1380
   1.0000   0.3437   0.1261
   1.0100   0.2921   0.1066
   1.0200   0.2504   0.0896
   1.0300   0.2106   0.0742
   1.0400   0.1776   0.0593
   1.0500   0.1584   0.0501
   1.0600   0.1356   0.0405
   1.0700   0.1141   0.0326
   1.0800   0.0933   0.0268
   1.0900   0.0805   0.0253
   1.1000   0.0678   0.0261
   1.1100   0.0552   0.0277
   1.1200   0.0459   0.0295
   1.1300   0.0381   0.0315
   1.1400   0.0314   0.0335
   1.1500   0.0259   0.0354
   1.1600   0.0212   0.0371
   1.1700   0.0173   0.0387
   1.1800   0.0141   0.0402
   1.1900   0.0114   0.0416
   1.2000   0.0093   0.0429
   1.2100   0.0075   0.0441
   1.2200   0.0060   0.0452
   1.2300   0.0048   0.0463
   1.2400   0.0038   0.0474
   1.2500   0.0030   0.0484
   1.2600   0.0024   0.0495
   1.2700   0.0019   0.0505
   1.2800   0.0015   0.0515
   1.2900   0.0012   0.0526
   1.3000   0.0009   0.0536
